siteid,Name,month,year,years_fire,pre_post_fire,burned,closed_ever,tot_vis,closed_month,d2p
CRG_007,Tanner Butte,1,2016,-2,pre,yes,yes,20,open,2016-01-15
CRG_007,Tanner Butte,1,2017,-1,pre,yes,yes,32,open,2017-01-15
CRG_007,Tanner Butte,1,2018,0,post,yes,yes,0,closed,2018-01-15
CRG_007,Tanner Butte,1,2019,1,post,yes,yes,0,closed,2019-01-15
CRG_007,Tanner Butte,2,2015,-3,pre,yes,yes,47,open,2015-02-15
CRG_007,Tanner Butte,2,2016,-2,pre,yes,yes,51,open,2016-02-15
CRG_007,Tanner Butte,2,2017,-1,pre,yes,yes,26,open,2017-02-15
CRG_007,Tanner Butte,2,2018,0,post,yes,yes,0,closed,2018-02-15
CRG_007,Tanner Butte,2,2019,1,post,yes,yes,0,closed,2019-02-15
CRG_007,Tanner Butte,3,2015,-3,pre,yes,yes,50,open,2015-03-15
CRG_007,Tanner Butte,3,2016,-2,pre,yes,yes,87,open,2016-03-15
CRG_007,Tanner Butte,3,2017,-1,pre,yes,yes,63,open,2017-03-15
CRG_007,Tanner Butte,3,2018,0,post,yes,yes,0,closed,2018-03-15
CRG_007,Tanner Butte,3,2019,1,post,yes,yes,0,closed,2019-03-15
CRG_007,Tanner Butte,4,2015,-3,pre,yes,yes,151,open,2015-04-15
CRG_007,Tanner Butte,4,2016,-2,pre,yes,yes,226,open,2016-04-15
CRG_007,Tanner Butte,4,2017,-1,pre,yes,yes,103,open,2017-04-15
CRG_007,Tanner Butte,4,2018,0,post,yes,yes,0,closed,2018-04-15
CRG_007,Tanner Butte,4,2019,1,post,yes,yes,0,closed,2019-04-15
CRG_007,Tanner Butte,5,2015,-3,pre,yes,yes,176,open,2015-05-15
CRG_007,Tanner Butte,5,2016,-2,pre,yes,yes,165,open,2016-05-15
CRG_007,Tanner Butte,5,2017,-1,pre,yes,yes,211,open,2017-05-15
CRG_007,Tanner Butte,5,2018,0,post,yes,yes,0,closed,2018-05-15
CRG_007,Tanner Butte,5,2019,1,post,yes,yes,0,closed,2019-05-15
CRG_007,Tanner Butte,6,2015,-3,pre,yes,yes,153,open,2015-06-15
CRG_007,Tanner Butte,6,2016,-2,pre,yes,yes,341,open,2016-06-15
